,santa cruz
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,1
2020-05-06,1
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-19,1
2020-05-20,1
2020-05-21,2
2020-05-22,5
2020-05-23,9
2020-05-24,12
2020-05-25,16
2020-05-26,19
2020-05-27,21
2020-05-28,22
2020-05-29,23
2020-05-30,24
2020-05-31,25
2020-06-01,27
2020-06-02,28
2020-06-03,30
2020-06-04,33
2020-06-05,35
2020-06-06,35
2020-06-07,36
2020-06-08,37
2020-06-09,37
2020-06-10,38
2020-06-11,40
2020-06-12,41
2020-06-13,42
2020-06-14,44
2020-06-15,44
2020-06-16,43
2020-06-17,44
2020-06-18,44
2020-06-19,44
2020-06-20,44
2020-06-21,44
2020-06-22,45
2020-06-23,45
2020-06-24,46
2020-06-25,46
2020-06-26,47
2020-06-27,48
2020-06-28,47
2020-06-29,48
2020-06-30,47
2020-07-01,46
2020-07-02,47
2020-07-03,48
2020-07-04,48
2020-07-05,49
2020-07-06,50
2020-07-07,49
2020-07-08,49
2020-07-09,49
2020-07-10,48
2020-07-11,47
2020-07-12,47
2020-07-13,47
2020-07-14,46
2020-07-15,47
2020-07-16,47
2020-07-17,48
2020-07-18,47
2020-07-19,48
2020-07-20,46
2020-07-21,46
2020-07-22,43
2020-07-23,43
2020-07-24,42
2020-07-25,42
2020-07-26,40
2020-07-27,41
2020-07-28,39
2020-07-29,39
2020-07-30,38
2020-07-31,36
2020-08-01,36
2020-08-02,35
2020-08-03,34
2020-08-04,34
2020-08-05,35
2020-08-06,34
2020-08-07,33
2020-08-08,33
2020-08-09,31
2020-08-10,30
2020-08-11,29
2020-08-12,29
2020-08-13,32
2020-08-14,31
2020-08-15,31
2020-08-16,30
2020-08-17,29
2020-08-18,25
2020-08-19,25
2020-08-20,23
2020-08-21,23
2020-08-22,22
2020-08-23,22
2020-08-24,22
2020-08-25,22
2020-08-26,22
2020-08-27,22
2020-08-28,21
2020-08-29,21
2020-08-30,19
2020-08-31,18
2020-09-01,17
2020-09-02,16
2020-09-03,15
2020-09-04,15
2020-09-05,16
2020-09-06,17
2020-09-07,16
2020-09-08,16
2020-09-09,16
2020-09-10,15
2020-09-11,14
2020-09-12,14
2020-09-13,14
2020-09-14,14
2020-09-15,14
2020-09-16,13
2020-09-17,14
2020-09-18,14
2020-09-19,13
2020-09-20,13
2020-09-21,13
2020-09-22,11
2020-09-23,12
2020-09-24,11
2020-09-25,11
2020-09-26,11
2020-09-27,10
2020-09-28,10
2020-09-29,10
2020-09-30,9
2020-10-01,8
2020-10-02,8
2020-10-03,8
2020-10-04,7
2020-10-05,7
2020-10-06,7
2020-10-07,8
2020-10-08,7
2020-10-09,7
2020-10-10,8
2020-10-11,7
2020-10-12,7
2020-10-13,7
2020-10-14,8
2020-10-15,7
2020-10-16,8
2020-10-17,7
2020-10-18,8
2020-10-19,7
2020-10-20,8
2020-10-21,7
2020-10-22,8
2020-10-23,8
2020-10-24,8
2020-10-25,8
2020-10-26,3
2020-10-27,4
2020-10-28,6
