cod_ine,municipio,departamento,sdi,poblacion,urbanizacion
10101,Sucre,Chuquisaca,69.5820531000133,295476,91.4
10102,Yotala,Chuquisaca,55.5015514606548,10017,0
10103,Poroma,Chuquisaca,35.6623714865523,18947,0
10201,Azurduy,Chuquisaca,37.9266923457436,10948,0
10202,Tarvita,Chuquisaca,39.9748943901115,14688,0
10301,Zudañez,Chuquisaca,47.5261153999313,12467,36.7
10302,Presto,Chuquisaca,44.1009799038319,14088,23.5
10303,Mojocoya,Chuquisaca,46.6844227103097,8421,0
10304,Icla,Chuquisaca,45.1258992927534,7777,0
10401,Padilla,Chuquisaca,54.1707584748893,11067,31.9
10402,Tomina,Chuquisaca,47.429254466144,8727,0
10403,Sopachuy,Chuquisaca,44.9206178754497,7870,29.3
10404,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0
10405,El Villar,Chuquisaca,47.7101408196485,4644,0
10501,Monteagudo,Chuquisaca,57.4553427009765,27119,47.1
10502,Huacareta,Chuquisaca,47.5638077197901,8351,0
10601,Tarabuco,Chuquisaca,43.3375952267388,17027,17.6
10602,Yamparáez,Chuquisaca,46.9935286690552,10929,0
10701,Camargo,Chuquisaca,53.0131919305328,17662,33.6
10702,San Lucas,Chuquisaca,42.2944343516559,33632,0
10703,Incahuasi,Chuquisaca,40.0712014978644,14293,0
10704,Villa Charcas,Chuquisaca,43.0595690809195,17879,17.6
10801,Villa Serrano,Chuquisaca,52.3879956426142,11711,29.5
10901,Villa Abecia,Chuquisaca,50.0603983646353,4022,0
10902,Culpina,Chuquisaca,45.770947920992,18801,15.5
10903,Las Carreras,Chuquisaca,50.7874625616797,4412,0
11001,Muyupampa,Chuquisaca,51.6490358488663,10457,33.1
11002,Huacaya,Chuquisaca,49.1232641324376,2650,0
11003,Macharetí,Chuquisaca,48.0188187987996,7735,0
20101,La Paz,La Paz,80.151006915737,816044,99
20102,Palca,La Paz,49.1053958159999,17707,0
20103,Mecapaca,La Paz,58.0055279666022,19014,0
